date,ticker,stock_name,foreign_buy,foreign_sell,foreign_net,foreign_dealer_buy,foreign_dealer_sell,foreign_dealer_net,investment_buy,investment_sell,investment_net,dealer_buy,dealer_sell,dealer_net,dealer_self_buy,dealer_self_sell,dealer_self_net,dealer_hedge_buy,dealer_hedge_sell,dealer_hedge_net,total_net,source
2026-05-29,00674R.TW,期元大S&P黃金反1,0,0,0,0,0,0,0,0,0,21635,13771,7864,0,0,0,21635,13771,7864,7864,TWSE
2026-05-29,00675L.TW,富邦臺灣加權正2,210000,146000,64000,0,0,0,0,0,0,857945,835580,22365,0,12000,-12000,857945,823580,34365,86365,TWSE
2026-05-29,00676R.TW,富邦臺灣加權反1,1000,1000,0,0,0,0,0,0,0,3664333,5741268,-2076935,0,0,0,3664333,5741268,-2076935,-2076935,TWSE
2026-05-29,00678.TW,群益那斯達克生技,9000,0,9000,0,0,0,0,0,0,338700,200000,138700,1000,0,1000,337700,200000,137700,147700,TWSE
2026-05-29,00679B.TW,元大美債20年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00680L.TW,元大美債20正2,93000,3370000,-3277000,0,0,0,0,0,0,20393398,3211000,17182398,0,0,0,20393398,3211000,17182398,13905398,TWSE
2026-05-29,00681R.TW,元大美債20反1,2000,5000,-3000,0,0,0,0,0,0,0,2140,-2140,0,0,0,0,2140,-2140,-5140,TWSE
2026-05-29,00682U.TW,期元大美元指數,0,0,0,0,0,0,0,0,0,0,156,-156,0,0,0,0,156,-156,-156,TWSE
2026-05-29,00683L.TW,期元大美元指正2,0,0,0,0,0,0,0,0,0,2000,206,1794,0,0,0,2000,206,1794,1794,TWSE
2026-05-29,00684R.TW,期元大美元指反1,0,0,0,0,0,0,0,0,0,14000,0,14000,0,0,0,14000,0,14000,14000,TWSE
2026-05-29,00685L.TW,群益臺灣加權正2,353000,330000,23000,0,0,0,0,0,0,832408,1248011,-415603,0,0,0,832408,1248011,-415603,-392603,TWSE
2026-05-29,00686R.TW,群益臺灣加權反1,0,0,0,0,0,0,0,0,0,4221000,2265332,1955668,0,0,0,4221000,2265332,1955668,1955668,TWSE
2026-05-29,00687B.TW,國泰20年美債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00687C.TW,國泰20年美債+櫃U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00688L.TW,國泰20年美債正2,6000,3532000,-3526000,0,0,0,0,0,0,10492995,549000,9943995,0,0,0,10492995,549000,9943995,6417995,TWSE
2026-05-29,00689R.TW,國泰20年美債反1,323000,0,323000,0,0,0,0,0,0,253000,554145,-301145,0,0,0,253000,554145,-301145,21855,TWSE
2026-05-29,00690.TW,兆豐藍籌30,39000,31000,8000,0,0,0,0,0,0,245900,121890,124010,0,0,0,245900,121890,124010,132010,TWSE
2026-05-29,00692.TW,富邦公司治理,329300,87000,242300,0,0,0,0,0,0,1236549,488000,748549,0,0,0,1236549,488000,748549,990849,TWSE
2026-05-29,00693U.TW,期街口S&P黃豆,0,0,0,0,0,0,0,0,0,433000,215225,217775,0,0,0,433000,215225,217775,217775,TWSE
2026-05-29,00694B.TW,富邦美債1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00695B.TW,富邦美債7-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00696B.TW,富邦美債20年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00697B.TW,元大美債7-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00700.TW,富邦恒生國企,193000,38000,155000,0,0,0,0,0,0,245915,195036,50879,0,0,0,245915,195036,50879,205879,TWSE
2026-05-29,00701.TW,國泰股利精選30,22000,19000,3000,0,0,0,0,0,0,1239940,929627,310313,0,0,0,1239940,929627,310313,313313,TWSE
2026-05-29,00702.TW,國泰標普低波高息,0,0,0,0,0,0,0,0,0,119843,100000,19843,0,0,0,119843,100000,19843,19843,TWSE
2026-05-29,00703.TW,台新MSCI中國,0,0,0,0,0,0,0,0,0,17133,10100,7033,0,0,0,17133,10100,7033,7033,TWSE
2026-05-29,00706L.TW,期元大S&P日圓正2,9000,0,9000,0,0,0,0,0,0,236840,102000,134840,0,0,0,236840,102000,134840,143840,TWSE
2026-05-29,00708L.TW,期元大S&P黃金正2,594000,390000,204000,0,0,0,0,0,0,2313771,222124,2091647,0,0,0,2313771,222124,2091647,2295647,TWSE
2026-05-29,00709.TW,富邦歐洲,0,0,0,0,0,0,0,0,0,30000,6000,24000,0,0,0,30000,6000,24000,24000,TWSE
2026-05-29,00710B.TW,復華彭博非投等債,0,30000,-30000,0,0,0,0,0,0,159485,108810,50675,0,0,0,159485,108810,50675,20675,TWSE
2026-05-29,00711B.TW,復華彭博新興債,16000,0,16000,0,0,0,0,0,0,104404,101800,2604,0,0,0,104404,101800,2604,18604,TWSE
2026-05-29,00712.TW,復華富時不動產,35,147000,-146965,0,0,0,0,0,0,70999,2735713,-2664714,10000,0,10000,60999,2735713,-2674714,-2811679,TWSE
2026-05-29,00713.TW,元大台灣高息低波,4492678,1895000,2597678,0,0,0,0,0,0,7144067,307000,6837067,0,0,0,7144067,307000,6837067,9434745,TWSE
2026-05-29,00714.TW,群益道瓊美國地產,198000,0,198000,0,0,0,0,0,0,102241,234792,-132551,0,0,0,102241,234792,-132551,65449,TWSE
2026-05-29,00715L.TW,期街口布蘭特正2,2130000,2745000,-615000,0,0,0,0,0,0,4836406,7225083,-2388677,0,0,0,4836406,7225083,-2388677,-3003677,TWSE
2026-05-29,00717.TW,富邦美國特別股,420000,0,420000,0,0,0,0,0,0,1000,8000,-7000,0,0,0,1000,8000,-7000,413000,TWSE
2026-05-29,00719B.TW,元大美債1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00720B.TW,元大投資級公司債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00722B.TW,群益投資級電信債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00723B.TW,群益投資級科技債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00724B.TW,群益投資級金融債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
2026-05-29,00725B.TW,國泰投資級公司債,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPEX
