snapshot_date,snapshot_time,source_file,股票代號,股票名稱,收盤價,5日線,10日線,20日線,成交量,5日均量,20日高點,20日低點,量價異常,籌碼1日,籌碼3日,籌碼5日,籌碼10日,外資1日,外資3日,外資5日,外資10日,投信1日,投信3日,投信5日,投信10日,自營商1日,自營商3日,自營商5日,自營商10日,技術分數,狀態,綜合判斷,技術面,籌碼面,AI評語
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,9105.TW,泰金寶-DR,10.5,9.21,8.01,6.86,271642439,231621898,10.6,5.55,無明顯異常,-12357264,-3481096,2026133,44644735,-10001479,-2129259,8122792,40393392,0,0,0,0,-2355785,-1351837,-6096659,4251343,100,🔥強勢,強勢觀察,站上5日線、多頭排列、量能溫和放大、接近20日高點,5日法人明顯買超,強勢偏多：站上5日線、多頭排列、量能溫和放大、接近20日高點、5日法人明顯買超。可列入優先觀察，但仍需留意乖離與量能是否過熱。
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,3017.TW,奇鋐,2700.0,2686.0,2611.0,2543.75,4220815,5628730,2835.0,2300.0,無明顯異常,-395783,955784,1340822,1692656,-272021,605907,812909,-24177,-118000,247877,538877,1674845,-5762,102000,-10964,41988,95,🔥強勢,強勢觀察,站上5日線、多頭排列、量能未放大,5日法人明顯買超、外資投信同步買超,強勢偏多：站上5日線、多頭排列、量能未放大、5日法人明顯買超、外資投信同步買超。可列入優先觀察，但仍需留意乖離與量能是否過熱。
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,3189.TW,景碩,743.0,725.8,666.1,580.73,6753281,11835885,778.0,445.5,無明顯異常,-543481,2949574,1946015,25371407,159473,2821599,1092799,18023329,-11905,2381,871572,6833572,-691049,125594,-18356,514506,95,🔥強勢,強勢觀察,站上5日線、多頭排列、量能未放大,5日法人明顯買超、外資投信同步買超,強勢偏多：站上5日線、多頭排列、量能未放大、5日法人明顯買超、外資投信同步買超。可列入優先觀察，但仍需留意乖離與量能是否過熱。
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,6669.TW,緯穎,5475.0,5292.0,5313.0,5271.0,1953015,2328833,5880.0,4630.0,無明顯異常,139803,903464,454800,266199,201318,693363,472298,558614,3000,261963,141813,-220366,-64515,-51862,-159311,-72049,90,🔥強勢,強勢觀察,站上5日線、量能未放大,法人連續偏買、5日法人買超、外資投信同步買超,強勢偏多：站上5日線、量能未放大、法人連續偏買、5日法人買超、外資投信同步買超。可列入優先觀察，但仍需留意乖離與量能是否過熱。
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,2609.TW,陽明,53.6,53.22,52.43,51.02,71874958,40472847,55.7,47.35,無明顯異常,-11144966,11190396,24413548,46722261,19358804,47089739,61618385,84170507,-30584550,-36928324,-38412024,-38493840,80780,1028981,1207187,1045594,90,🔥強勢,強勢觀察,站上5日線、多頭排列、成交量放大,5日法人明顯買超、外資買投信賣,強勢偏多：站上5日線、多頭排列、成交量放大、5日法人明顯買超、外資買投信賣。可列入優先觀察，但仍需留意乖離與量能是否過熱。
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,2707.TW,晶華,174.5,173.1,173.15,172.62,252102,236121,176.5,168.5,無明顯異常,99000,241000,281085,231866,99000,242000,280085,231085,0,0,0,0,0,-1000,1000,781,85,🔥強勢,強勢觀察,站上5日線、量能溫和放大、接近20日高點、接近20日低點,法人連續偏買、5日法人買超,強勢偏多：站上5日線、量能溫和放大、接近20日高點、接近20日低點、法人連續偏買、5日法人買超。可列入優先觀察，但仍需留意乖離與量能是否過熱。
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,2374.TW,佳能,82.5,81.96,81.85,81.17,14325800,15097617,86.4,77.1,無明顯異常,-1791149,1809752,1203067,5941752,-1607024,1329595,813946,5531488,0,-1000,-1000,-1000,-184125,481157,390121,411264,75,🔥強勢,強勢觀察,站上5日線、多頭排列、量能未放大,5日法人明顯買超、外資買投信賣,強勢偏多：站上5日線、多頭排列、量能未放大、5日法人明顯買超、外資買投信賣。可列入優先觀察，但仍需留意乖離與量能是否過熱。
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,4966.TWO,譜瑞-KY,827.0,847.0,820.1,773.1,4610000,5370000,929.0,553.0,無明顯異常,11913,121167,1589915,810197,31444,-1421000,-66042,-784088,9000,1561000,1558000,1344000,-28531,-18833,97957,250285,65,👀觀察,偏多觀察,跌破5日線、多頭排列、量能未放大,法人連續偏買、5日法人明顯買超、投信買外資賣,偏多觀察：跌破5日線、多頭排列、量能未放大、法人連續偏買、5日法人明顯買超、投信買外資賣。條件不差，適合等待拉回或突破確認。
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,2409.TW,友達,26.15,23.19,22.35,20.73,720567401,574373597,26.15,17.5,無明顯異常,51668289,8749100,-78910101,-55159397,47814593,3801406,-84520196,-64382522,2000,110000,106000,247311,3851696,4837694,5504095,8975814,65,👀觀察,偏多觀察,站上5日線、多頭排列、量能溫和放大、突破20日高點,短線籌碼止穩、5日法人明顯賣超、投信買外資賣,偏多觀察：站上5日線、多頭排列、量能溫和放大、突破20日高點、短線籌碼止穩、5日法人明顯賣超、投信買外資賣。條件不差，適合等待拉回或突破確認。
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,6274.TWO,台燿,1590.0,1631.0,1532.0,1452.25,7939000,8698600,1815.0,1160.0,無明顯異常,271386,1677669,2109423,2957821,51994,-416445,-1380385,-1408184,655000,2600000,4231000,5676700,-435608,-505886,-741192,-1310695,65,👀觀察,偏多觀察,跌破5日線、多頭排列、量能未放大,法人連續偏買、5日法人明顯買超、投信買外資賣,偏多觀察：跌破5日線、多頭排列、量能未放大、法人連續偏買、5日法人明顯買超、投信買外資賣。條件不差，適合等待拉回或突破確認。
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,2308.TW,台達電,2360.0,2427.0,2281.5,2213.75,12331189,12993977,2585.0,1880.0,無明顯異常,-643318,-604911,3203838,10063516,-62543,-724326,2791669,9284103,-400000,337387,633387,-378172,-180775,-217972,-221218,1157585,55,👀觀察,偏多觀察,跌破5日線、多頭排列、量能未放大,5日法人明顯買超、外資投信同步買超,偏多觀察：跌破5日線、多頭排列、量能未放大、5日法人明顯買超、外資投信同步買超。條件不差，適合等待拉回或突破確認。
