ticker,buy_sell_1d,buy_sell_3d,buy_sell_5d,buy_sell_10d,foreign_1d,foreign_3d,foreign_5d,foreign_10d,investment_1d,investment_3d,investment_5d,investment_10d,dealer_1d,dealer_3d,dealer_5d,dealer_10d
4904.TW,-2049348,-3310818,640317,7090165,-27348402,-47537014,-40335375,-32235083,24929199,43546304,40427932,38675941,369855,679892,547760,649307
2458.TW,-2118633,1033654,1668023,-3079522,-1832286,1085700,1746666,-2087037,-237851,-326528,-495349,-1253867,-48496,274482,416706,261382
3034.TW,4301803,5511992,6285273,8691801,4474067,6968773,7448436,9507052,-438337,-2512903,-2394861,-2261385,266073,1056122,1231698,1446134
3529.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3533.TW,-5864,751636,1259927,1970453,110411,1354835,2090216,3209498,-127000,-656231,-918281,-1297081,10725,53032,87992,58036
3661.TW,-519742,-669507,-770282,-1311505,-526636,-743860,-844794,-1209271,7000,-29268,-55285,-129285,-106,103621,129797,27051
5269.TW,58994,256243,398825,316989,58888,184434,372588,431835,9000,18029,-40971,-92971,-8894,53780,67208,-21875
6147.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6485.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6531.TW,-224720,-548824,-1024359,-260349,-318557,-496971,-786247,624242,87637,-110363,-310222,-826152,6200,58510,72110,-58439
6643.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6770.TW,28712988,16658981,-87231585,-195159126,27409723,10380113,-97566006,-199692200,0,1746000,2176171,2299171,1303265,4532868,8158250,2233903
6757.TW,452884,-1226191,-1994106,-5733367,72656,-1670829,-2444392,7177563,350000,350000,350000,-13090000,30228,94638,100286,179070
1476.TW,-715971,517067,-2826161,-4534816,-957815,-289910,-4068936,-5750761,329334,871638,1291210,1301178,-87490,-64661,-48435,-85233
9910.TW,-405231,-3211273,-356553,4721904,141434,-1417306,-553916,-11560544,-541000,-1803111,511944,17928074,-5665,9144,-314581,-1645626
